Model,Hashrate,Cooling,Voltage(V),Power(W),Fans,ASIC Chips,ModelIndex
Antminer S21 XP,270T,Air,220-240,3645,4,120,8
Antminer S19K Pro1,115T,Air,220-240,2760,4,126,7
Antminer S19K Pro2,110T,Air,220-240,2640,4,126,7
Antminer S19 XP1,141T,Air,220-240,3030,4,110,8
Antminer S19 XP2,134T,Air,220-240,2880,4,110,8
Antminer S19 XP3,127T,Air,220-240,2730,4,110,8
Antminer S19 XP4,119T,Air,220-240,2560,4,110,8
Antminer S19 XP5,110T,Air,220-240,2365,4,110,8
Antminer S19e XP Hyd1,251T,Hyd,380-415,4390,0,150,8
Antminer S19 XP+ Hyd,293T,Hyd,380-415,5120,0,150,8
Antminer S21e Hyd1,288T,Hyd,380-415,4320,0,160,11
Antminer S21e Hyd2,310T,Hyd,380-415,4650,0,160,11
Antminer S21e Hyd3,332T,Hyd,380-415,4980,0,160,11
Antminer S21+ Hyd1,319T,Hyd,380-415,4785,0,180,11
Antminer S21+ Hyd2,338T,Hyd,380-415,5070,0,180,11
Antminer S21+ Hyd3,358T,Hyd,380-415,5370,0,180,11
Antminer S21 XP Hyd,473T,Hyd,380-415,5670,0,220,11
IceRiver KS71,36T,Air,220-240,3200,4,96,16
IceRiver KS72,40T,Air,220-240,3400,4,96,16
IceRiver KS73,45T,Air,220-240,3600,4,96,16
Antminer L91,15G,Air,220-240,3150,4,120,13
Antminer L92,16G,Air,220-240,3360,4,120,13
Antminer L93,16.5G,Air,220-240,3465,4,120,13
Antminer L94,17G,Air,220-240,3570,4,120,13
Antminer L71,9050M,Air,220-240,3260,4,120,13
Antminer L72,8800M,Air,220-240,3170,4,120,13
U3 S21 XP Hyd,860T,Hyd,380-415,11180,0,440,11
Antminer S21 Immersion,215T,Imm,220-240,3225,0,120,9
Antminer S21 XP Imm,300T,Imm,220-240,4050,0,120,9
Whatsminer M30s,90T,Air,220-240,3420,2,144,22
Whatsminer M50s++,160T,Air,220-240,3520,2,156,24
Whatsminer M60,172T,Air,220-240,3420,2,160,24
Whatsminer M61,200T,Air,220-240,3980,2,160,24
Avalon A15 XP,203T,Air,220-240,3650,4,120,20
Antminer Z15 Pro,840K,Air,220-240,2560,2,90,16
Antminer S19j Pro,104T,Air,220-240,3060,4,126,6
Antminer S21a,200T,Air,220-240,3500,4,120,9
Antminer S21b,235T,Air,220-240,3995,4,120,9
Antminer S17,56T,Air,220-240,2520,4,144,3
Antminer S17 Pro,53T,Air,220-240,2094,4,144,3
Antminer T17,40T,Air,220-240,2200,4,144,3
Antminer T17+,64T,Air,220-240,3200,4,144,3
Whatsminer M20S,68T,Air,220-240,3360,2,111,22
Whatsminer M20,62T,Air,220-240,3360,2,111,22
Avalon A1066,50T,Air,220-240,3250,4,144,20
Avalon A1166,68T,Air,220-240,3196,4,144,20
Avalon A1246,90T,Air,220-240,3420,4,144,20
Innosilicon T3+,52T,Air,220-240,2200,2,66,25
